id,authors
85481,Michael Washburn
52943,Dan Cohn-Sherbok
2586,John Richard Thackrah
49483,Patrick Chamoiseau
122268,Edward C. Allcard
104983,Robert J. Sternberg
73710,Harvard Business Review
186880,Harold R. Jacobs
10339,Barry Lopez
128266,Frida Kahlo
185992,Beverly Engel
33760,Erle Stanley Gardner
81581,Richard Nelson Bolles
190821,Edmund Ruffin
11903,Jane Parault
28577,Margaret Jubb
195894,Melanie McCabe White| Lisa K. Jennings
61129,Ryan McGinness
138831,Gerhard Schoenberner| Michael Berenbaum
192458,Louis A. Sass
98376,Thomas Nelson
13504,Us Olympic Committee
170317,Mike Ancas
97708,Sander H. Lee
5362,Stephen Haag| Maeve Cummings
188190,Albert Ellis
137302,Elyse Goldstein
6728,Helen Macinnes
53308,Barry Lyga
4389,Susan Jeffers
140314,Roger Sessions
98079,Woodland Publishing| Louise Tenney
62231,Pamela Reeve| Larry R. Libby
41073,Peter Jenkins
202612,James D. Kornwolf| Professor James D Kornwolf| Georgiana Wallis Kornwolf
72672,Dr. Sherry L. Meinberg
110352,Tim Galagher
138808,Thomas B. Costain
210433,Rand McNally and Company| Rand McNally
17550,Sharon Kebschull Barrett
19359,Ibrahim al-Koni| Ibrāhīm Kūnī
17156,Columbia University Columbia University Press| Yukio Mishima
44739,Katherine Mansfield
14726,Paul D. Kimmel| Jerry J. Weygandt
208833,Leonard Piper
196056,Rick Steves
67010,Susan Futterman
49254,Jorge Ramos
37252,Victor Davis Hanson
52203,Michael Cart
110098,David J. Armor
176330,Christopher Hogwood
100159,Facts On File| Incorporated
10963,Apple Computer Inc| James Duncan Davidson
138446,Georg G. Gross| Richard W. Hemingway| Takashi Yoshida
60055,Jorge Duany
59971,Robert T. Kiyosaki| Sharon L. Lechter
123218,Richard Kearney
90499,Fern Michaels
68889,R. A. Montgomery
173306,Shmuel Yosef Agnon
33221,Lynn V. Andrews
162259,David Bowers| Allan House| David Owens| Bridgette Bewick
66742,Jim Crace
63456,Laura Silber| Allan Little
93044,Dorothy Mack
19246,Sharon Lovejoy Autry| Laurie Lovejoy Hilliard
55687,Catherine Whitney
132295,James R. Smith
56920,Susan E. Mitchell
16831,David Ray Griffin
136232,Eric A. Marks| Michael Bell
118020,Rebecca Skloot
194585,Andrei D. Polyanin
29486,Anne C. Chappell
147667,Vernon Mahabal
103690,Eugene J. Fisher
2746,World Bible Publishing
31174,Carol Ryrie Brink
191156,Benjamin M. Schutz| Ellen B. Dixon| JoAnne C. Lindenberger| Neil J. Ruther
130573,Georgia Glashauser
88518,Matt Ridley
30493,Enid Blyton
50140,David Christopher Arnold
164401,Kathryn Ann Clarke
210535,Antonia Domínguez Miguela| Miram Fernández Santiago
38978,Elivia Savadier
136910,Ralph E. Warner| Ira Serkes| George Devine
122311,David Cope
170092,Allan Baillie
71847,Ronald Syme
171122,Jean M. Auel
24043,Martha Gellhorn
39780,Ben Hogan
124618,Paul Clark| Julian Freeman
54325,Janette Oke
50622,Judy Harris Helm| Sallee Beneke| Kathy Steinheimer
9369,Scott Ballew
163636,Dane Love
81126,Gene Jessen
977,Anon E. Mouse
145325,Sigmund Freud
106752,Peter Bogdanovich
138169,Flavia Weedn| Lisa Weedn-Gilbert
11175,Bob Woodward| Scott Armstrong
188608,Bobbi Parish
20487,Ronald Kowalski
104596,L-W Book Sales (Firm)
170623,Barbara Shook Hazen
18982,Tony Perona
101678,Peng Shepherd
117289,Sharon Sanders
188297,Fedor Lazutin
36145,Janis Owens
1059,Sister Souljah
188202,Thomas Harris
202040,Lisa Weiss| Emily Biegel
50075,Neal Ascherson
99255,Antonia Felix
26404,Patrick Downs| Debra Weiss
24773,Elle James
95555,Nancy Zieman
108292,Lecturer in the Social Anthropology of Japan Roger Goodman| Roger Goodman
106770,Charles Arnold-Baker
26430,Ian Marshall| Danah Zohar
77602,Lindsay Waters
188363,Andrey Kurkov
95235,Emily Elsen| Melissa Elsen
26556,C. Norman Shealy
24699,David Leon Clark
207681,Donald J. Sobol
111502,Jim Grant
50688,Lisa Alther
54309,Laurie A. Ulrich| Ken Cook
155440,Susan Casey
175612,Harvey Kubernik
114038,Nigel Fabb
146225,Linda Nagata
201085,Julie Anne Peters
160112,Lucy Diamond
89229,Robert Dayley
77801,Rebecca Eckler
199848,Arthur Kornhaber
188182,Bernard Cornwell
210169,Jennifer Read Hawthorne
25073,Culinary Institute of America| Ben Fink
67258,Ernö Pretsch| Thomas Clerc
205084,Joan Chittister
31306,Nigel Tranter
24757,Colin E. Gunton
178720,Ian King| Lou Schuler
174162,Vito Tanzi| Vito L. Tanzi
98076,Jon Bonné
161789,Kim Long
46115,Rosita Arvigo
122623,Raoul Berger| Harvard University Press
154608,John MacArthur
178054,Caroline Stevermer
58501,Mary Frances Kennedy Fisher| Geraldine Schremp
26825,John Reier
75222,Miklos Vamos
51075,Robin Warshaw
190159,Linda Chestney
154459,James W. Hall
26194,Alenka Zupancic
43959,Dean LeBaron| Romesh Vaitilingam
60247,Alice Joyce Davidson
103562,Peter Macinnis
99745,Andrea Camilleri
15117,George Perry
164437,Rh Wood
515,D. A. Cruse
103346,Roger L. Welsch
196994,Jean Lang
206010,Howell Book House
8300,Mark D. Jordan
117566,Kenn Oberrecht| Del Rosemary Delucco-Alpert
156958,Doug Crandell
26663,Valerie Hope Goldstein
207403,Ronald Jemal Stephens
180343,Diana Palmer
14546,William J. Blake
200916,John L. Greenberg| hn L. Greenberg
136152,DK
118939,Robert W. Firestone
121119,Brigit Legere Binns
183689,E. D. Baker
67831,Matt Garcia
140497,A. Andrew Das
155199,Loet Leydesdorff
26616,Rodney Yee
21582,Joe Watson
25677,Gail Omvedt
176511,Terry Law
59723,Max Jacobson| Murray Silverstein| Barbara Winslow
25441,John Jiler
171453,Tony Hillerman
170914,Joseph Epstein
150972,Allan Johnson
51844,David Molden
104814,Deneen Anderson
176776,Tim Rifat
70543,Brian Gibbons
187208,Allison Hemming
69685,Erin McNamara Horvat| Carla O
69621,Alfred Emile Cornebise
186291,Richard W. Behan
119368,Scott Robinette| Claire Brand
26053,William C. Kashatus
126163,Karl Menninger
105980,Henry Legere
198082,Linda Winstead Jones
42709,J. Budziszewski
66123,Michael M. Lewis
176147,Seth Schwartz
23628,Douglas Wilson
8958,Anne Martinez
145400,Joyce Sweeney
8558,A. T. Robertson| John Albert Broadus
22173,Linda M. Hasselstrom| Gaydell Collier| Nancy Curtis
135445,Edgar Pangborn
126854,John Sherwood
52762,Huw Gott| Will Beckett
14939,Jessie E. Sampter
69191,Stephen Overholser
5182,L. M. Montgomery
43268,Terttu Leney
45194,Elizabeth Brundage
102003,Carl Bovill
98341,Gretchen Woelfle
48309,Marvin W. Meyer| Esther A. De Boer
100890,Sumantra Bose
69556,John M Owen| Patricia Rogers
116042,Daniel Burstein| David Kline
41574,Ben Highmore
34302,Joseph Edminister
26822,Harry Borgman
42818,Canada| Alliance Atlantis (Firm)
171123,E. A. Wallis Budge
109984,Jan Brett
149958,David Barash
12271,Abrams
38829,Pamela Reed Gibson
121996,Gita Rajan| Radhika Mohanram
45257,Anne Dickson
28103,Ted Ciuba
8777,Jim Bendat
23050,Connie Pitts
139244,Tamar Diana Wilson
21760,Cecelia Ahern
153933,National Geographic Society (U.S.).| National Geographic Society (U.S.). Special Publications Division
127952,Pasquale Bruno
135221,James A. Durham| Deborah McMurray
123323,Dorothy Allred Solomon
205723,William Bryant
47984,Dave Dempsey
37073,El-Louise Price
154225,Evelyn Waugh
106496,Washington Irving
49234,Alex Varughese| Roger Hahn
97155,R. H. W. Dillard
162808,John Altman
187823,Rhonda Byrne
133618,Nancy K. Gish
64604,Eugene Shadley| Terry Davis
18719,Frederick Miller| Judith Katz
103949,Editors of Time Out
79461,Agnes de Mille
170033,Zondervan
116626,Barry Sears
201274,Williams Stuart Murray
196325,Maryann Easley
111778,Sheila Ostrander| Lynn Schroeder
811,Mary Fabyan Windeatt
29859,Louis Guilloux| Alice Kaplan
99805,Scott R. Benarde
89097,Angus Wells
105628,Tyler G. Hicks
117519,Christina Brown
86298,Lewis Carroll
149552,Peter Heller
187033,Christine Keers| Dennis St. Pierre
16872,Pamela Leigh Starr
16053,Wendelin Van Draanen
86959,Eric Ambler
35962,James E. A. John| Theo G. Keith
162721,Diana Sammataro| Alphonse Avitabile
35565,Sharon Wynne
120046,Joyce E. Davis| Kendra Lee| Mikel Husband
77382,Anita Ganeri
150967,Marla Baggetta
12523,Diane Johnson
197035,Ed Taylor
39473,Mary Alice Fontenot
202937,Jon Loomis
36897,Carlo Maria Martini
167687,Heather Williamson| Bruce Epstein
34148,Peter Riddle
142608,Appleton Historical Society
151129,Philip K. Dick
167749,Catherine Lanigan
164497,John McPhee
66063,Berge Garabedian
23368,Joan Wolf
199913,Ellen Finkelstein
6023,The Experts at Dummies
166055,Robert W. Douglass
47798,Brigham D. Madsen
152118,Professional Tennis Registry
89913,Piotr S. Wandycz
140073,Jean-Baptiste Moliere
58251,ARTURO RODRIGUEZ
193079,Leslie Rockitter
11346,Jane Kirby| The American Dietetic Association (ADA)
181678,Carolyn Wheat
58669,Chris Offutt
164961,Henry Fielding
178582,Chris Stringer| Robin McKie
69950,Rosemary Sullivan
64150,Thomas Hatina
76861,Asuman Çelen Pollard
24482,Joan Steiner
11286,Marilyn Ferguson
39432,Mike Dash
148783,Patricia Thomas| Patty Thomas
150553,Marie-Louise von Franz
24701,Gene Logsdon
99100,Kristi Yamaguchi| Christy Kjarsgaard-Ness| Jody Meacham
174395,Clive Staples Lewis
167626,Jane Werner Watson
47233,Sumaya Shabandar
182883,Victor Serge
195820,Tennant Redbank
196085,Seyom Brown
158792,Janneke Adema
100635,James Tiles
103405,Phil Comer| Diane Comer
131803,Evelyn M. Brown
197395,John A. Cash| John Albright| Allan W. Sandstrum
20518,Ginny Eckley
3327,Siva Vaidhyanathan
79548,Ben Watson
186687,Haruki Murakami
152187,Rita Robinson
107224,Mike Heneberry
65425,Mike Venezia
199225,John R. Kohlenberger
119802,David Schap
59709,James Holland
150288,Gary Soto
12980,Victoria Blake
14514,Frank Holloway
116297,Douglas Lawson Wilson| Rodney O. Davis| Terry Wilson| William Henry Herndon| Jesse William Weik
47418,Peggy Parish
13463,Diane Grindol| Tom Roudybush
33444,Dan Dale Alexander
126839,Edwin F. Becker
108452,Donald Rothberg
170718,Regina Doman
132522,Blaise Pascal
194301,Jenny March
154138,Norman Medoff| Edward J. Fink
93907,CJ Redwine
115923,Reginald Gibbons
102543,Michal Glowinski| Marci Shore
117135,Ning Wang
125665,Carolyn Ford Brunetto| James Levin
15305,Gary Dorrien
2150,Lee Child
212167,Michael Chanan
141191,Jon Pahl
102304,Gary Paulsen
70293,Vijaya Ramaswamy| Jawaharlal Nehru University
34892,John Stanley
201093,Yaël Dayan
135661,Effie A. Velardo
159697,Bob Greene| D. G. Fulford
148113,Julie Davis
12572,James Axler
150118,Heidi McLaughlin
59289,Diana Wynne Jones
23718,Stephen Olford| David Olford
136494,Carter Lindberg
82782,Alan Leo
61083,Bartholomew Gill
184172,Minoru Kiyota
51397,Leisure Arts
82475,Jeff Guinn
167965,Brooke Allen
74577,graf Leo Tolstoy| Louise Maude
155636,Philip G. Ryken
197741,Neil McDonald
20853,Katherine A. Dettwyler
1036,Astrid Holleeder
161292,Philip Holden
176816,Tommy Tenney
130328,Stephen Hunter
190479,Tina Skinner
57363,Jacob Robinson
155372,Emilie Baker Loring
43552,Gregory J. Blencoe
29773,Elsebeth Egholm
159275,Pierpaolo R. Palmieri
91072,Francis King
145902,William A. McKenzie
35123,A.G. Williams| Emmanuel Gustin
152913,Robert P. Wilkins| Wynona H. Wilkins
157346,M.P.H. Waterhouse| R Debra
167288,Michael Congdon
183257,Will James
137426,Rozanne Lanczak Williams
91750,Nancy Rubin
188770,Dallas W. Isom
146688,Corrado Poli
58480,Michelle Larks
1205,Shams al-Dīn Aḥmad Aflākī| Jalāl al-Dīn Rūmī (Maulana)
95760,Stephanie L. Derrick
10757,Christopher Cunningham
158559,Richard A. Silverman
60363,Baiceng Lou
133811,Fulton John Sheen
32965,Nicholas Woodhouse
14347,Gabriele L. Rico
64897,Joseph Heller
197601,Elizabeth Crook
19698,Frank Close
98328,Lewis C. Epstein
169163,Anne McCaffrey
35833,Paul Bowles
133303,Lynn Picknett| Clive Prince
42983,Rob Jenkins| Staci Johnson
144095,Orison Swett Marden| Joseph Francis MacGrail
189408,John S. Mason
7964,Oliver Dimon Kellogg
164628,Brandon Bays
45193,Richard Barker| Paul Massiglia
161696,Merold Westphal
56781,Jerome Beaty
72863,Mrs. Charles H. Ashdown
28431,John Tincey
181376,C. M. Reed
78223,Peter Fraenkel
83596,Harry Craddock
150418,Paula K. Rauch| Anna C. Muriel
128541,Alayna
21272,Tim Taylor
209099,Martina Murphy
69505,Gary L. Harbaugh
166596,Margaret D. LeCompte| University of Colorado| Boulder| Jean J. Schensul| Institute for Community Research| Bonnie K. Nastasi| Stephen P. Borgatti
132989,Barbara Lazear Ascher
127425,Stacy McLaughlin PH. D.| Stacey J. McLaughlin
103180,Robert McConnell Productions
166365,Wendy Pini| Richard Pini
26363,John Wesley| Robert Wallace Burtner
131750,George Bernard Shaw| Dan H. Laurence
129311,Los Angeles County Museum of Art| Edward Maeder
30754,Judith Viorst
162039,David Riesman| Nathan Glazer| Reuel Denney
367,Brian H. Jones
97098,Dorothy L. Sayers
188259,Vinita Hampton Wright
46888,Stephanie Sammartino McPherson
33576,Laurence G. Britton
56039,Bethany Anderson
191564,Tom Stonehouse| Eldon Brumbaugh
28841,Josepha Sherman| Gwen Hansen
34655,George Santayana
195209,Lauren Owen
134376,Tom Clancy
136161,Heather Mac Donald
117429,Joanne Pence
13813,Robley Wilson
131138,Frances Evesham
31406,Glenn D. Walters
103603,Tim Halliday
37991,Nancy Lonsdorf
76461,Jan Mahnken
157690,Gooseberry Patch
201373,Sergius Kagen
150895,Francis Bellamy| Bill Martin| Michael R. Sampson| Christopher Raschka
161389,Audrey Howard
67894,Allan G. Bogue
163104,Penelope Fitzgerald
54715,Sarah Lynch
168821,Dr. R. Scott Pace
131208,Sonal Bhatt
1981,James T. Patterson
177061,Lyn Andrews
22677,Allen Eskelin
31357,David Lee
190948,Sylvia Browne
80638,Lisa René Reynolds
171907,Casey Treat
18241,Veronica L. Fowler
191048,Paul Cook
130136,Timothy Christian Lethbridge| Robert Laganière
188427,Ulysses Simpson Grant
68273,Steven P. Shelov
171243,Bernhard W. Anderson
16829,Anna
